Gene,MutSig(Q-value),# Mut,# Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
POMC,4,4,1013,0.4%,No
STAT4,9,9,1013,0.9%,Yes
MAGEB2,2,2,1013,0.2%,No
PON1,1,1,1013,<0.1%,No
STAT3,11,11,1013,1.1%,Yes
CHCHD2,2,2,1013,0.2%,No
INSIG2,1,1,1013,<0.1%,No
DYNC1LI1,1,1,1013,<0.1%,No
A4GNT,2,2,1013,0.2%,No
MAGEA4,5,5,1013,0.5%,No
POLR2E,1,1,1013,<0.1%,No
CERCAM,3,2,1013,0.2%,No
ING4,1,1,1013,<0.1%,No
MAGEA6,3,3,1013,0.3%,No
ST14,5,5,1013,0.5%,No
MRNIP,3,3,1013,0.3%,No
MAGEA8,1,1,1013,<0.1%,No
STAC,2,2,1013,0.2%,No
MAGEA10,7,7,1013,0.7%,No
STAU1,2,2,1013,0.2%,No
POU2AF1,2,2,1013,0.2%,Yes
HSPA13,2,2,1013,0.2%,No
POU2F1,9,7,1013,0.7%,No
STC1,1,1,1013,<0.1%,No
MAN1A1,2,2,1013,0.2%,No
POU2F2,5,5,1013,0.5%,No
MAN2A2,6,6,1013,0.6%,No
SULT1E1,3,3,1013,0.3%,No
MAN2C1,4,4,1013,0.4%,No
POU3F2,1,1,1013,<0.1%,No
MAN2A1,8,7,1013,0.7%,No
POU3F3,1,1,1013,<0.1%,No
ELOVL4,3,3,1013,0.3%,No
SLC45A2,4,4,1013,0.4%,No
SDF4,1,1,1013,<0.1%,No
MRTO4,1,1,1013,<0.1%,No
ZNF580,1,1,1013,<0.1%,No
SERPINA10,2,2,1013,0.2%,No
MAGEB3,4,3,1013,0.3%,No
PON2,3,3,1013,0.3%,No
STAT5B,3,3,1013,0.3%,Yes
MAGEB4,2,2,1013,0.2%,No
PON3,1,1,1013,<0.1%,No
STAT5A,2,2,1013,0.2%,Yes
MAGOH,2,2,1013,0.2%,No
POR,3,3,1013,0.3%,No
MAK,2,2,1013,0.2%,No
STAT6,5,5,1013,0.5%,Yes
MAL,2,2,1013,0.2%,No
POU5F1,1,1,1013,<0.1%,Yes
AURKA,3,3,1013,0.3%,Yes
MAP1A,13,12,1013,1.2%,No
STK10,2,2,1013,0.2%,No
MAP1B,9,8,1013,0.8%,No
CDKL5,3,3,1013,0.3%,No
ZNF391,2,2,1013,0.2%,No
POU6F1,2,2,1013,0.2%,No
AURKC,3,2,1013,0.2%,No
MAP2,9,9,1013,0.9%,No
PPA1,1,1,1013,<0.1%,No
STK11,2,2,1013,0.2%,Yes
MAP4,4,4,1013,0.4%,No
PPARA,3,3,1013,0.3%,No
CSMD1,38,37,1013,3.7%,No
MAP6,4,4,1013,0.4%,No
VPS28,4,4,1013,0.4%,No
EGFL7,1,1,1013,<0.1%,Yes
C3ORF18,1,1,1013,<0.1%,No
DCTN4,1,1,1013,<0.1%,No
DBR1,1,1,1013,<0.1%,No
AADAT,2,2,1013,0.2%,No
MYO15A,36,34,1013,3.4%,No
CYB5R4,4,4,1013,0.4%,No
MAN2B1,9,8,1013,0.8%,No
POU3F4,4,3,1013,0.3%,Yes
STK3,1,1,1013,<0.1%,No
MANBA,3,3,1013,0.3%,No
POU4F1,3,3,1013,0.3%,No
NEK4,6,5,1013,0.5%,No
SERPINB12,2,2,1013,0.2%,No
POU4F2,6,6,1013,0.6%,No
MAOA,2,2,1013,0.2%,No
POU4F3,2,2,1013,0.2%,No
STK4,3,3,1013,0.3%,No
MAOB,2,2,1013,0.2%,No
PPEF2,6,6,1013,0.6%,No
MARK3,4,4,1013,0.4%,No
PPAT,2,2,1013,0.2%,No
CCDC160,1,1,1013,<0.1%,No
MARS1,5,5,1013,0.5%,No
MAS1,4,4,1013,0.4%,No
MAT1A,5,5,1013,0.5%,No
MAT2A,2,2,1013,0.2%,No
PPEF1,2,2,1013,0.2%,No
MATK,4,3,1013,0.3%,No
CTSA,2,2,1013,0.2%,No
MATN1,2,2,1013,0.2%,No
HSD17B14,2,2,1013,0.2%,No
NAGPA,3,3,1013,0.3%,No
TUBD1,4,4,1013,0.4%,No
PLEKHO1,3,3,1013,0.3%,No
LEF1,2,2,1013,0.2%,Yes
PPARD,5,4,1013,0.4%,No
MAPT,3,3,1013,0.3%,No
PPARG,1,1,1013,<0.1%,Yes
UMODL1,5,5,1013,0.5%,No
MED1,7,7,1013,0.7%,No
RSPH1,2,2,1013,0.2%,No
MARK1,3,3,1013,0.3%,No
OR13H1,2,2,1013,0.2%,No
PPID,1,1,1013,<0.1%,No
GAL3ST3,3,3,1013,0.3%,No
MB,1,1,1013,<0.1%,No
MBD1,10,9,1013,0.9%,No
SIGLEC10,8,8,1013,0.8%,No
MBL2,4,4,1013,0.4%,No
WDR53,1,1,1013,<0.1%,No
MBP,3,3,1013,0.3%,No
MC1R,2,2,1013,0.2%,No
HSPA14,4,4,1013,0.4%,No
DCXR,2,2,1013,0.2%,No
CRBN,3,3,1013,0.3%,Yes
SS18L2,1,1,1013,<0.1%,No
RSL24D1,2,2,1013,0.2%,No
MATN2,6,6,1013,0.6%,No
PPIA,2,2,1013,0.2%,No
MATN3,1,1,1013,<0.1%,No
PPIB,2,2,1013,0.2%,No
NAV2,24,24,1013,2.4%,No
NAV1,8,8,1013,0.8%,No
NAV3,15,12,1013,1.2%,No
MC5R,1,1,1013,<0.1%,No
HPS4,3,3,1013,0.3%,No
MCAM,6,6,1013,0.6%,No
PPL,14,14,1013,1.4%,No
WNT3A,3,3,1013,0.3%,No
MCC,11,11,1013,1.1%,No
PPM1A,3,2,1013,0.2%,No
PPM1B,2,2,1013,0.2%,No
PPM1G,4,4,1013,0.4%,No
CHST6,2,2,1013,0.2%,No
MCF2,2,2,1013,0.2%,No
PPP1CA,5,5,1013,0.5%,No
HERC5,1,1,1013,<0.1%,No
ZNF639,2,2,1013,0.2%,No
MC4R,4,4,1013,0.4%,No
RAPGEFL1,2,2,1013,0.2%,No
IPO11,4,4,1013,0.4%,No
PLCE1,15,15,1013,1.5%,No
NIN,9,7,1013,0.7%,Yes
MC2R,3,3,1013,0.3%,No
MC3R,4,4,1013,0.4%,No
ANKRD13A,8,8,1013,0.8%,No
LMLN,2,2,1013,0.2%,No
MCM3,8,6,1013,0.6%,No
MCM4,3,3,1013,0.3%,No
MCM5,5,5,1013,0.5%,No
MCM6,8,8,1013,0.8%,No
MCM7,6,5,1013,0.5%,No
CD46,4,4,1013,0.4%,No
ANTXR2,1,1,1013,<0.1%,No
TRIM71,6,5,1013,0.5%,No
BORCS5,1,1,1013,<0.1%,No
OLFM3,3,3,1013,0.3%,No
MCL1,3,3,1013,0.3%,Yes
MCM2,2,2,1013,0.2%,No
MUCL1,1,1,1013,<0.1%,No
OR4X2,2,2,1013,0.2%,No
OR4B1,3,3,1013,0.3%,No
RAD9B,1,1,1013,<0.1%,No
PHETA1,1,1,1013,<0.1%,No
SMCP,2,2,1013,0.2%,No
ADAM11,4,4,1013,0.4%,No
MDFI,1,1,1013,<0.1%,No
OR4C46,7,6,1013,0.6%,No
UBE2J2,1,1,1013,<0.1%,No
MDM4,3,3,1013,0.3%,Yes
ME1,6,6,1013,0.6%,No
MDH1,2,2,1013,0.2%,No
MDH2,1,1,1013,<0.1%,No
MDM2,5,3,1013,0.3%,Yes
ARSH,6,4,1013,0.4%,No
XKR6,2,2,1013,0.2%,No
TADA1,2,2,1013,0.2%,No
THEM4,2,2,1013,0.2%,No
CATSPER1,6,6,1013,0.6%,No
OR52W1,1,1,1013,<0.1%,No
PRAP1,1,1,1013,<0.1%,No
NSMCE2,1,1,1013,<0.1%,No
AKTIP,2,2,1013,0.2%,No
CDH24,5,5,1013,0.5%,No
CDH22,8,8,1013,0.8%,No
RGS18,1,1,1013,<0.1%,No
GALNT17,6,5,1013,0.5%,No
OR2D3,1,1,1013,<0.1%,No
OR2D2,2,2,1013,0.2%,No
EXOSC6,1,1,1013,<0.1%,Yes
C10ORF71,7,7,1013,0.7%,No
KLHL25,2,2,1013,0.2%,No
GZF1,7,6,1013,0.6%,No
ARAP3,11,11,1013,1.1%,No
TMEM168,8,6,1013,0.6%,No
TMEM267,1,1,1013,<0.1%,No
MTMR14,2,2,1013,0.2%,No
SH3GLB1,2,2,1013,0.2%,No
MECR,1,1,1013,<0.1%,No
NDUFAF1,2,2,1013,0.2%,No
PHF20L1,3,3,1013,0.3%,No
METTL9,4,4,1013,0.4%,No
ZNF707,3,3,1013,0.3%,No
FAM83H,16,15,1013,1.5%,No
DCLRE1C,4,4,1013,0.4%,No
SUSD1,7,7,1013,0.7%,No
INF2,4,4,1013,0.4%,No
ATG3,2,2,1013,0.2%,No
POLR1E,2,2,1013,0.2%,No
TTC31,1,1,1013,<0.1%,No
TMPRSS11B,2,2,1013,0.2%,No
SUDS3,1,1,1013,<0.1%,No
ZDHHC6,2,2,1013,0.2%,No
CIAO3,4,4,1013,0.4%,No
GPR62,2,2,1013,0.2%,No
OR52K2,2,2,1013,0.2%,No
OR52M1,1,1,1013,<0.1%,No
KMT5B,4,4,1013,0.4%,No
ZDHHC9,1,1,1013,<0.1%,No
MRPS2,2,2,1013,0.2%,No
SBDS,1,1,1013,<0.1%,Yes
UTP11,1,1,1013,<0.1%,No
NAT9,2,2,1013,0.2%,No
RIBC2,1,1,1013,<0.1%,No
KIF26A,10,9,1013,0.9%,No
ZNF337,6,6,1013,0.6%,No
NOC2L,5,5,1013,0.5%,No
ABCA12,6,6,1013,0.6%,No
CFAP100,3,3,1013,0.3%,No
RSL1D1,2,2,1013,0.2%,No
LNP1,1,1,1013,<0.1%,No
SSX2IP,2,2,1013,0.2%,No
RAB3IP,3,3,1013,0.3%,No
RGS22,3,3,1013,0.3%,No
SENP3,1,1,1013,<0.1%,No
PCDHB5,8,8,1013,0.8%,No
IFT172,10,9,1013,0.9%,No
ZBTB20,8,7,1013,0.7%,Yes
GAPVD1,9,9,1013,0.9%,No
WFIKKN1,6,6,1013,0.6%,No
TRPC4AP,5,5,1013,0.5%,No
SERBP1,2,2,1013,0.2%,No
HDGFL1,2,2,1013,0.2%,No
CFAP70,5,5,1013,0.5%,No
AGR3,2,2,1013,0.2%,No
PHF19,2,2,1013,0.2%,Yes
ZNF658,5,5,1013,0.5%,No
TTLL3,1,1,1013,<0.1%,No
DACH2,8,8,1013,0.8%,No
OR56A1,2,2,1013,0.2%,No
CATSPER2,4,4,1013,0.4%,No
SH2D1B,1,1,1013,<0.1%,No
TRAF3IP1,5,5,1013,0.5%,No
OR56A4,3,3,1013,0.3%,No
IRF2BP1,2,2,1013,0.2%,No
DCD,1,1,1013,<0.1%,No
MBOAT1,4,4,1013,0.4%,No
TANC2,5,5,1013,0.5%,No
PCLO,38,29,1013,2.9%,Yes
LDLRAP1,1,1,1013,<0.1%,No
WSB1,1,1,1013,<0.1%,No
HDHD5,3,3,1013,0.3%,No
CECR2,7,7,1013,0.7%,No
SYT9,4,4,1013,0.4%,No
CCDC69,2,2,1013,0.2%,No
REG3G,4,4,1013,0.4%,No
CD200R1,4,4,1013,0.4%,No
KIFBP,1,1,1013,<0.1%,No
FGFR1OP2,3,3,1013,0.3%,No
EPC2,4,3,1013,0.3%,No
PRPF31,2,2,1013,0.2%,No
TCTN3,1,1,1013,<0.1%,No
RFTN2,3,3,1013,0.3%,No
RBM33,3,2,1013,0.2%,No
HTRA2,3,3,1013,0.3%,No
LIX1,1,1,1013,<0.1%,No
DHRS7C,4,4,1013,0.4%,No
CHCHD4,1,1,1013,<0.1%,No
EML4,6,6,1013,0.6%,Yes
LRIT1,1,1,1013,<0.1%,No
POLM,2,2,1013,0.2%,No
PYGO1,2,2,1013,0.2%,No
TMEM121B,2,2,1013,0.2%,No
WIPI2,4,4,1013,0.4%,No
TOR2A,2,2,1013,0.2%,No
MAT2B,1,1,1013,<0.1%,No
MRGPRX2,4,4,1013,0.4%,No
MRGPRX4,5,5,1013,0.5%,No
MRGPRX3,3,3,1013,0.3%,No
CENPV,1,1,1013,<0.1%,No
FLCN,5,5,1013,0.5%,Yes
SLC2A12,3,3,1013,0.3%,No
ARHGAP27,5,5,1013,0.5%,No
OR2B3,1,1,1013,<0.1%,No
OR2J3,3,3,1013,0.3%,No
STRN,4,3,1013,0.3%,Yes
STX1A,2,2,1013,0.2%,No
SULT1C2,2,2,1013,0.2%,No
STX4,1,1,1013,<0.1%,No
STXBP1,3,3,1013,0.3%,No
STX5,1,1,1013,<0.1%,No
SAMD14,3,3,1013,0.3%,No
STXBP3,3,3,1013,0.3%,No
STXBP2,6,6,1013,0.6%,No
OR9A4,3,3,1013,0.3%,No
SUPT6H,8,6,1013,0.6%,No
SUPT5H,8,7,1013,0.7%,No
GALNTL6,5,5,1013,0.5%,No
SUOX,3,3,1013,0.3%,No
SULT2A1,5,5,1013,0.5%,No
VPS37D,4,4,1013,0.4%,No
METTL27,2,2,1013,0.2%,No
SVIL,11,11,1013,1.1%,No
CHST13,3,3,1013,0.3%,No
PPP1R3D,2,2,1013,0.2%,No
PPP1R1A,1,1,1013,<0.1%,No
SURF1,1,1,1013,<0.1%,No
ABCC8,12,10,1013,1.0%,No
SURF4,2,2,1013,0.2%,No
SURF2,1,1,1013,<0.1%,No
PPP1R3A,8,7,1013,0.7%,No
SURF6,2,1,1013,<0.1%,No
PPP1R3C,1,1,1013,<0.1%,No
MED22,1,1,1013,<0.1%,No
CNKSR3,2,2,1013,0.2%,No
SYK,5,5,1013,0.5%,Yes
PPP2R2A,2,2,1013,0.2%,Yes
PPP2R2B,6,6,1013,0.6%,No
PPP2R1B,4,4,1013,0.4%,No
EHF,3,3,1013,0.3%,No
SERGEF,3,3,1013,0.3%,No
PPP1R8,2,2,1013,0.2%,No
VAMP1,1,1,1013,<0.1%,No
VAMP7,2,2,1013,0.2%,No
PPP1R10,5,4,1013,0.4%,No
VAMP2,2,2,1013,0.2%,No
PPP2CA,5,5,1013,0.5%,No
SYCP1,2,2,1013,0.2%,No
GALNT8,3,3,1013,0.3%,No
PPP2CB,1,1,1013,<0.1%,No
PPP2R1A,1,1,1013,<0.1%,Yes
FGF21,1,1,1013,<0.1%,No
SYT5,3,3,1013,0.3%,No
PPP3CA,4,4,1013,0.4%,No
SYT4,2,2,1013,0.2%,No
ME2,4,4,1013,0.4%,No
PPP4C,2,2,1013,0.2%,No
TAC1,1,1,1013,<0.1%,No
MEA1,2,2,1013,0.2%,No
PPP3CB,1,1,1013,<0.1%,No
TBXT,1,1,1013,<0.1%,No
PPP2R2C,1,1,1013,<0.1%,No
PPP2R3A,2,2,1013,0.2%,No
SYN1,1,1,1013,<0.1%,No
PTPA,1,1,1013,<0.1%,No
SYPL1,1,1,1013,<0.1%,No
PPP2R5A,4,4,1013,0.4%,No
PPP2R5B,4,4,1013,0.4%,No
PPP2R5C,4,4,1013,0.4%,No
SYT1,3,3,1013,0.3%,No
PPP2R5D,5,5,1013,0.5%,No
RAET1L,2,2,1013,0.2%,No
PPP2R5E,3,3,1013,0.3%,No
LINC02904,1,1,1013,<0.1%,No
TACR3,5,5,1013,0.5%,No
TAF1,7,7,1013,0.7%,Yes
MEFV,8,8,1013,0.8%,No
TADA2A,2,2,1013,0.2%,No
MEIS1,2,2,1013,0.2%,No
TAF4,2,2,1013,0.2%,No
MEIS2,5,3,1013,0.3%,No
TAF2,7,5,1013,0.5%,No
ZFP41,1,1,1013,<0.1%,No
SIGLEC12,4,3,1013,0.3%,No
KLHL6,7,7,1013,0.7%,Yes
PPP3CC,2,2,1013,0.2%,No
TACR2,2,2,1013,0.2%,No
PAIP2,1,1,1013,<0.1%,No
PPP3R1,2,2,1013,0.2%,No
SHISA5,1,1,1013,<0.1%,No
MECP2,1,1,1013,<0.1%,No
TACC1,1,1,1013,<0.1%,No
CFAP119,2,2,1013,0.2%,No
MEF2A,1,1,1013,<0.1%,No
PPP5C,2,2,1013,0.2%,No
PPP6C,1,1,1013,<0.1%,Yes
TACR1,3,3,1013,0.3%,No
BORCS8-MEF2B,1,1,1013,<0.1%,No
ADAM17,5,4,1013,0.4%,No
MEF2C,5,5,1013,0.5%,Yes
PPY,1,1,1013,<0.1%,No
SCARA5,1,1,1013,<0.1%,No
PREP,1,1,1013,<0.1%,No
TAF9,1,1,1013,<0.1%,No
PRF1,2,2,1013,0.2%,Yes
TAF12,3,3,1013,0.3%,No
MEN1,6,5,1013,0.5%,Yes
TAF11,2,2,1013,0.2%,No
MEOX1,1,1,1013,<0.1%,No
PRG2,3,3,1013,0.3%,No
MAP3K7,4,4,1013,0.4%,Yes
MEOX2,7,7,1013,0.7%,No
TAF13,1,1,1013,<0.1%,No
FAM178B,4,4,1013,0.4%,No
ATG16L2,1,1,1013,<0.1%,No
FCHSD1,3,3,1013,0.3%,No
MRPL37,2,2,1013,0.2%,No
TBC1D7,2,2,1013,0.2%,No
FGD3,5,5,1013,0.5%,No
RNF181,2,2,1013,0.2%,No
ABCC10,7,6,1013,0.6%,No
PRB3,2,2,1013,0.2%,No
MAP3K1,11,9,1013,0.9%,Yes
PRB4,1,1,1013,<0.1%,No
TAF4B,3,3,1013,0.3%,No
MAP3K3,4,4,1013,0.4%,No
PRCC,1,1,1013,<0.1%,Yes
TAF6,4,4,1013,0.4%,No
MAP3K4,7,6,1013,0.6%,No
PRCP,1,1,1013,<0.1%,No
TAF5,2,2,1013,0.2%,No
MAP3K5,6,6,1013,0.6%,No
PRMT9,1,1,1013,<0.1%,No
RAB8A,1,1,1013,<0.1%,No
PRELP,2,2,1013,0.2%,No
TAF7,2,2,1013,0.2%,No
ZNF479,11,9,1013,0.9%,No
TAP1,7,7,1013,0.7%,Yes
TAP2,4,4,1013,0.4%,Yes
PRKAA1,1,1,1013,<0.1%,No
TARBP1,6,5,1013,0.5%,No
PRKAA2,5,5,1013,0.5%,No
DPY19L4,4,4,1013,0.4%,No
MET,12,12,1013,1.2%,Yes
PRKAB1,1,1,1013,<0.1%,No
ALDH8A1,6,5,1013,0.5%,No
SPSB3,2,2,1013,0.2%,No
PRKAB2,1,1,1013,<0.1%,No
NDST4,15,14,1013,1.4%,No
CDKL3,1,1,1013,<0.1%,No
CLEC1A,6,6,1013,0.6%,No
CLEC1B,3,3,1013,0.3%,No
MEP1A,2,2,1013,0.2%,No
PRH2,4,3,1013,0.3%,No
TAL2,1,1,1013,<0.1%,Yes
MEP1B,2,2,1013,0.2%,No
TAL1,2,2,1013,0.2%,Yes
PIPOX,4,3,1013,0.3%,No
PRIM2,5,5,1013,0.5%,No
TALDO1,2,2,1013,0.2%,No
SLC25A21,1,1,1013,<0.1%,No
AQP10,2,2,1013,0.2%,No
FBXO43,3,3,1013,0.3%,No
TRIM15,8,8,1013,0.8%,No
GPR135,2,2,1013,0.2%,No
SEPTIN14,4,4,1013,0.4%,No
CLEC7A,2,2,1013,0.2%,No
MFGE8,6,6,1013,0.6%,No
PRKAG1,3,3,1013,0.3%,No
MELTF,2,2,1013,0.2%,No
MFNG,1,1,1013,<0.1%,No
PRKAR1A,2,2,1013,0.2%,Yes
ZNF598,5,3,1013,0.3%,No
PRKAR1B,7,6,1013,0.6%,No
SPOCD1,10,9,1013,0.9%,No
MGAT1,6,5,1013,0.5%,No
PRKAR2A,2,2,1013,0.2%,No
TFDP3,3,3,1013,0.3%,No
UBAP1,2,2,1013,0.2%,No
ZNF571,7,7,1013,0.7%,No
PLCZ1,10,10,1013,1.0%,No
DNAJC27,1,1,1013,<0.1%,No
PRKACA,3,3,1013,0.3%,Yes
TAT,2,2,1013,0.2%,No
SEC16B,7,7,1013,0.7%,No
MFAP1,4,2,1013,0.2%,No
PRKACB,1,1,1013,<0.1%,No
TARS1,5,5,1013,0.5%,No
C1RL,1,1,1013,<0.1%,No
TCEAL8,1,1,1013,<0.1%,No
PRKACG,3,3,1013,0.3%,No
MFAP3,3,3,1013,0.3%,No
TBX1,1,1,1013,<0.1%,No
MFAP4,2,2,1013,0.2%,No
PRKCD,1,1,1013,<0.1%,No
SCGB2A2,1,1,1013,<0.1%,No
PRKCE,6,5,1013,0.5%,No
KBTBD6,4,4,1013,0.4%,No
PRKCG,5,5,1013,0.5%,No
PRKCH,1,1,1013,<0.1%,No
MIA2,14,12,1013,1.2%,No
PRKCI,4,4,1013,0.4%,Yes
KITLG,1,1,1013,<0.1%,No
PKN1,7,7,1013,0.7%,No
MGMT,2,2,1013,0.2%,No
PKN2,9,8,1013,0.8%,No
GIGYF1,7,6,1013,0.6%,No
MGP,1,1,1013,<0.1%,No
PRKD1,6,4,1013,0.4%,Yes
MOSPD3,4,4,1013,0.4%,No
ANKMY1,5,5,1013,0.5%,No
GOLM1,2,2,1013,0.2%,No
BFAR,3,3,1013,0.3%,No
RASL12,2,2,1013,0.2%,No
TLR7,7,6,1013,0.6%,No
CEND1,1,1,1013,<0.1%,No
RXFP3,3,3,1013,0.3%,No
PRKAR2B,1,1,1013,<0.1%,No
MGAT2,3,3,1013,0.3%,No
PRKCA,4,4,1013,0.4%,No
MGAT3,4,4,1013,0.4%,No
PRKCB,3,3,1013,0.3%,No
MGAT5,3,3,1013,0.3%,No
TMEM116,2,2,1013,0.2%,No
TSPY2,1,1,1013,<0.1%,No
PRKDC,34,30,1013,3.0%,Yes
CIITA,11,10,1013,1.0%,Yes
PRKG1,4,4,1013,0.4%,No
PRKG2,4,4,1013,0.4%,No
MAPK1,2,2,1013,0.2%,Yes
MAPK4,6,6,1013,0.6%,No
MAPK6,2,1,1013,<0.1%,No
MAPK7,6,6,1013,0.6%,No
ZNF697,3,3,1013,0.3%,No
ERGIC2,1,1,1013,<0.1%,No
GMPR2,3,3,1013,0.3%,No
PRKCZ,6,6,1013,0.6%,No
GMIP,11,8,1013,0.8%,No
PCDH12,7,7,1013,0.7%,No
CD320,1,1,1013,<0.1%,No
SLC15A3,1,1,1013,<0.1%,No
ECSIT,4,4,1013,0.4%,Yes
THEG,3,3,1013,0.3%,No
NRN1,2,2,1013,0.2%,No
IFTAP,1,1,1013,<0.1%,No
MGST1,2,2,1013,0.2%,No
PRKCQ,7,6,1013,0.6%,No
PRKCSH,7,7,1013,0.7%,No
ZNF628,6,6,1013,0.6%,No
IL33,1,1,1013,<0.1%,No
SLAMF9,1,1,1013,<0.1%,No
LHX4,5,5,1013,0.5%,No
TPD52L3,3,3,1013,0.3%,No
MICB,3,3,1013,0.3%,No
MAPK8,1,1,1013,<0.1%,No
CXCL9,1,1,1013,<0.1%,No
MIP,2,2,1013,0.2%,No
MIPEP,6,5,1013,0.5%,No
MITF,3,3,1013,0.3%,Yes
ATXN3,3,3,1013,0.3%,No
MKI67,16,14,1013,1.4%,Yes
MKLN1,3,3,1013,0.3%,No
MID1,4,4,1013,0.4%,No
MAP3K9,8,7,1013,0.7%,No
MAP3K10,5,4,1013,0.4%,No
MLN,1,1,1013,<0.1%,No
MAP3K11,4,4,1013,0.4%,No
KMT2A,22,17,1013,1.7%,Yes
ADAD1,2,2,1013,0.2%,No
MLLT1,3,3,1013,0.3%,Yes
AFF1,11,10,1013,1.0%,Yes
MLF1,1,1,1013,<0.1%,Yes
MLH1,5,5,1013,0.5%,Yes
GMEB2,4,4,1013,0.4%,No
ZFP42,5,4,1013,0.4%,No
PITPNC1,3,3,1013,0.3%,No
IL20RB,2,2,1013,0.2%,No
FGFRL1,7,7,1013,0.7%,No
GPR84,2,2,1013,0.2%,No
IL20RA,1,1,1013,<0.1%,No
C11ORF24,5,5,1013,0.5%,No
GPR87,4,4,1013,0.4%,No
C12ORF60,2,2,1013,0.2%,No
NUP43,3,3,1013,0.3%,No
IGLJ1,2,2,1013,0.2%,No
CDHR5,6,5,1013,0.5%,No
TMCO5A,1,1,1013,<0.1%,No
SPATA8,1,1,1013,<0.1%,No
DND1,1,1,1013,<0.1%,No
CAMSAP1,14,12,1013,1.2%,No
HCN1,16,15,1013,1.5%,No
BIVM-ERCC5,1,1,1013,<0.1%,No
CPEB1,1,1,1013,<0.1%,No
NRG4,1,1,1013,<0.1%,No
TEKT3,9,8,1013,0.8%,No
ZDHHC2,3,3,1013,0.3%,No
OR51A7,1,1,1013,<0.1%,No
NUSAP1,2,2,1013,0.2%,No
DDX47,3,3,1013,0.3%,No
ACP6,2,2,1013,0.2%,No
DUSP13,3,3,1013,0.3%,No
GP6,2,2,1013,0.2%,No
OR51L1,4,4,1013,0.4%,No
RAB9B,2,2,1013,0.2%,No
CLDN18,1,1,1013,<0.1%,No
OR52E2,2,2,1013,0.2%,No
OR52J3,2,2,1013,0.2%,No
PPP1R3F,2,2,1013,0.2%,No
LUZP4,2,2,1013,0.2%,No
NKAIN3,4,3,1013,0.3%,No
TCTE1,3,3,1013,0.3%,No
ARHGAP11B,3,3,1013,0.3%,No
ZNF219,2,2,1013,0.2%,No
ELOA2,6,6,1013,0.6%,No
PIGP,1,1,1013,<0.1%,No
COPZ2,1,1,1013,<0.1%,No
CD300LD,2,2,1013,0.2%,No
PHF20,8,7,1013,0.7%,No
PIP4P1,2,2,1013,0.2%,No
CRIM1,8,8,1013,0.8%,No
VRK3,1,1,1013,<0.1%,No
DRICH1,1,1,1013,<0.1%,No
KCNK17,4,4,1013,0.4%,No
NIPAL4,1,1,1013,<0.1%,No
ANGEL2,6,6,1013,0.6%,No
SLC6A18,1,1,1013,<0.1%,No
SGSM1,6,6,1013,0.6%,No
ZPLD1,3,3,1013,0.3%,No
SNRNP48,2,2,1013,0.2%,No
ANO5,11,11,1013,1.1%,No
FBXO4,2,2,1013,0.2%,No
FBXO5,2,2,1013,0.2%,No
ZNF721,12,9,1013,0.9%,No
FBXO3,2,2,1013,0.2%,No
VPS33B,3,3,1013,0.3%,No
HIBCH,3,3,1013,0.3%,No
SACS,27,25,1013,2.5%,No
TINF2,1,1,1013,<0.1%,No
FBXO6,1,1,1013,<0.1%,No
ZNF431,11,7,1013,0.7%,No
CLDN17,3,3,1013,0.3%,No
ERAL1,4,3,1013,0.3%,No
ANKRD2,3,2,1013,0.2%,No
ARFGAP3,3,3,1013,0.3%,No
AK5,3,3,1013,0.3%,No
FGF20,3,3,1013,0.3%,No
IL1RAPL2,7,7,1013,0.7%,No
ZNF280A,2,2,1013,0.2%,No
NKX2-8,1,1,1013,<0.1%,No
FBXW8,1,1,1013,<0.1%,No
KCNG2,9,9,1013,0.9%,No
OPTC,1,1,1013,<0.1%,No
BMPER,2,2,1013,0.2%,No
CLEC4E,2,2,1013,0.2%,No
CABYR,1,1,1013,<0.1%,No
FBXL14,1,1,1013,<0.1%,No
FBXO9,1,1,1013,<0.1%,No
KHDRBS2,6,6,1013,0.6%,No
FBXO24,7,7,1013,0.7%,No
FBXO22,2,2,1013,0.2%,No
OR51F2,3,3,1013,0.3%,No
TSPAN17,2,2,1013,0.2%,No
OR52R1,2,2,1013,0.2%,No
SLC16A13,3,3,1013,0.3%,No
FBXO10,6,6,1013,0.6%,No
SLC13A4,4,4,1013,0.4%,No
MS4A13,2,2,1013,0.2%,No
OR51S1,3,3,1013,0.3%,No
FAM168B,1,1,1013,<0.1%,No
EMID1,3,3,1013,0.3%,No
FBXL4,5,5,1013,0.5%,No
LCE2B,3,3,1013,0.3%,No
TIAM2,8,8,1013,0.8%,No
SPEM2,6,5,1013,0.5%,No
FBXO2,2,2,1013,0.2%,No
FBXL9P,2,2,1013,0.2%,No
FBXL5,3,3,1013,0.3%,No
FBXL6,2,2,1013,0.2%,No
LIN54,3,3,1013,0.3%,No
OR2L2,2,2,1013,0.2%,No
KLHL3,4,4,1013,0.4%,No
OR2K2,3,3,1013,0.3%,No
LRRC45,5,5,1013,0.5%,No
FAM50B,3,3,1013,0.3%,No
OR2M4,4,4,1013,0.4%,No
SPATA18,11,11,1013,1.1%,No
OR1J4,1,1,1013,<0.1%,No
SLC39A11,4,4,1013,0.4%,No
OR2B6,2,2,1013,0.2%,No
